Date,open,high,low,close,volume,dividends,stock splits
2016-09-19 00:00:00-04:00,90.18067952392651,90.40925741280164,89.632097241008,89.6473388671875,5457600,0.0,0.0
2016-09-20 00:00:00-04:00,90.03591677909333,90.08925084692282,89.67019911768453,89.86829376220703,5187700,0.0,0.0
2016-09-21 00:00:00-04:00,89.86827700354596,90.66829368477865,89.63208414905736,90.59972381591797,6337300,0.0,0.0
2016-09-22 00:00:00-04:00,90.85879661340715,91.30832581480807,90.77498509908193,91.018798828125,5340500,0.0,0.0
2016-09-23 00:00:00-04:00,90.9807077762228,91.12546836528995,90.44736123935981,90.52355194091797,4773000,0.0,0.0
2016-09-26 00:00:00-04:00,90.38639916244063,90.39401997588355,89.57114651337015,89.73876953125,5998900,0.0,0.0
2016-09-27 00:00:00-04:00,90.20354365938095,90.8359375,89.69305958643781,90.8359375,5349500,0.0,0.0
2016-09-28 00:00:00-04:00,90.7064121956428,91.06450905687524,90.52354754520937,90.96546173095703,5076100,0.0,0.0
2016-09-29 00:00:00-04:00,90.57688632045222,90.87403412662124,89.17495880549868,89.3501968383789,6190200,0.0,0.0
2016-09-30 00:00:00-04:00,89.73877702469937,90.3787917088676,89.44162921836417,90.00544738769531,7941100,0.0,0.0
2016-10-03 00:00:00-04:00,89.90639970142553,90.67593915701222,89.47210630826827,90.52355194091797,6098600,0.0,0.0
2016-10-04 00:00:00-04:00,90.54640952133522,91.03404280498181,90.11973693774469,90.53117370605469,5733900,0.0,0.0
2016-10-05 00:00:00-04:00,90.83592024618855,91.00354323841498,90.3635287056392,90.8054428100586,5778700,0.0,0.0
2016-10-06 00:00:00-04:00,90.28734933953535,90.55401967287946,89.84543517972098,90.47782897949219,4448500,0.0,0.0
2016-10-07 00:00:00-04:00,90.79784695563009,91.10261558772558,90.43212924749803,90.85118103027344,4799300,0.0,0.0
2016-10-10 00:00:00-04:00,91.05689781743276,91.58261772345611,90.93498804544146,91.2778549194336,3657000,0.0,0.0
2016-10-11 00:00:00-04:00,90.98071762182722,91.14833485820296,89.19020397006884,89.63211822509766,6394200,0.0,0.0
2016-10-12 00:00:00-04:00,89.875924107669,90.2340268066371,89.52544222290689,89.883544921875,4685200,0.0,0.0
2016-10-13 00:00:00-04:00,89.55590230120742,90.82068400418734,89.35780186111047,90.10448455810547,7387400,0.0,0.0
2016-10-14 00:00:00-04:00,90.2873417205622,90.51591959441257,89.57113647460938,89.57113647460938,5640500,0.0,0.0
2016-10-17 00:00:00-04:00,89.5254415426045,90.32545845179344,89.5254415426045,90.27973937988281,6956400,0.0,0.0
