Date,open,high,low,close,volume,dividends,stock splits,capital gains
2016-09-19 00:00:00-04:00,182.86605270272938,183.50654930012172,181.92665248084597,182.2511749267578,80250500,0.0,0.0,0.0
2016-09-20 00:00:00-04:00,183.10510344527577,183.2588163176017,182.22548948225904,182.2596435546875,69665300,0.0,0.0,0.0
2016-09-21 00:00:00-04:00,182.9599359014457,184.48858157217842,182.2767371368936,184.3092498779297,110284400,0.0,0.0,0.0
2016-09-22 00:00:00-04:00,185.31702070974237,185.7696372754525,185.06936775208356,185.47073364257812,76678700,0.0,0.0,0.0
2016-09-23 00:00:00-04:00,185.0778960657672,185.21453846600355,184.36054301093114,184.45448303222656,73630900,0.0,0.0,0.0
2016-09-26 00:00:00-04:00,183.6260762405824,183.80540795937068,182.7635326328194,182.9599609375,89827300,0.0,0.0,0.0
2016-09-27 00:00:00-04:00,182.79770286955798,184.18970639548482,182.43047810181935,184.0957794189453,78494800,0.0,0.0,0.0
2016-09-28 00:00:00-04:00,184.31787866073088,185.16333902682638,183.36140772360898,185.00961303710938,87411000,0.0,0.0,0.0
2016-09-29 00:00:00-04:00,184.8046277507613,185.20600669292523,182.78919777576687,183.33575439453125,128070600,0.0,0.0,0.0
2016-09-30 00:00:00-04:00,184.1641637864351,185.4195384826467,183.91651077203267,184.71926879882812,117202900,0.0,0.0,0.0
2016-10-03 00:00:00-04:00,184.3092983398103,184.49716534430019,183.6431699217955,184.27513122558594,83512100,0.0,0.0,0.0
2016-10-04 00:00:00-04:00,184.3861782802475,184.60821242723569,182.74650842395437,183.33575439453125,119948100,0.0,0.0,0.0
2016-10-05 00:00:00-04:00,183.9591536594831,184.57403139469778,183.89083246324418,184.14703369140625,72816000,0.0,0.0,0.0
2016-10-06 00:00:00-04:00,183.9249899749344,184.49716534430019,183.3869817197929,184.27513122558594,62927400,0.0,0.0,0.0
2016-10-07 00:00:00-04:00,184.5484039938564,184.71920046104418,182.91726971570253,183.64315795898438,89788300,0.0,0.0,0.0
2016-10-10 00:00:00-04:00,184.59967041015625,185.0608222465507,184.45449273886658,184.59967041015625,51855000,0.0,0.0,0.0
2016-10-11 00:00:00-04:00,184.17260714642728,184.2409283258376,181.54230037832636,182.2681884765625,130367400,0.0,0.0,0.0
2016-10-12 00:00:00-04:00,182.40486643174575,183.028292428927,181.9095475575587,182.50735473632812,73866100,0.0,0.0,0.0
2016-10-13 00:00:00-04:00,181.1836576651646,182.40486476810696,180.37236468400783,181.9095458984375,101357000,0.0,0.0,0.0
2016-10-14 00:00:00-04:00,182.88315447394865,183.34431940018226,181.92668356166985,182.0035400390625,93346200,0.0,0.0,0.0
2016-10-17 00:00:00-04:00,181.97792689409408,182.2341281910063,181.1922524729187,181.37159729003906,58275700,0.0,0.0,0.0
2016-10-18 00:00:00-04:00,182.95997123618378,183.01974413549965,182.13159469170796,182.50735473632812,76869700,0.0,0.0,0.0
2016-10-19 00:00:00-04:00,182.77213698376207,183.3016100714441,182.4134604052415,182.99417114257812,66519200,0.0,0.0,0.0
2016-10-20 00:00:00-04:00,182.64397856230016,183.2076186121692,181.9949467972882,182.65252685546875,73639800,0.0,0.0,0.0
2016-10-21 00:00:00-04:00,182.65252332556983,182.8233197834896,181.69603970553706,182.7379150390625,89089100,0.0,0.0,0.0
2016-10-24 00:00:00-04:00,183.6090309678364,183.88231578040575,183.1649496628797,183.5150909423828,60146600,0.0,0.0,0.0
2016-10-25 00:00:00-04:00,183.33574051636367,183.59194176253314,182.73794629592604,182.90020751953125,66542300,0.0,0.0,0.0
2016-10-26 00:00:00-04:00,182.08037296255412,183.11370014460235,181.84124225159334,182.53298950195312,75705500,0.0,0.0,0.0
2016-10-27 00:00:00-04:00,183.25030957336313,183.28446365110642,181.96931664758029,182.04617309570312,77220200,0.0,0.0,0.0
2016-10-28 00:00:00-04:00,182.0205811693207,182.69523180962065,180.79937398784872,181.5081787109375,140623200,0.0,0.0,0.0
2016-10-31 00:00:00-04:00,181.84124830762158,182.06329546856531,181.35447766812322,181.51673889160156,61272500,0.0,0.0,0.0
2016-11-01 00:00:00-04:00,181.84120744839947,181.89245811082677,178.9974146530381,180.2015380859375,122781800,0.0,0.0,0.0
2016-11-02 00:00:00-04:00,179.89411499958456,180.2784233312652,178.68144316808676,179.1169891357422,103330800,0.0,0.0,0.0
2016-11-03 00:00:00-04:00,179.3304897741683,179.5439886134976,178.02387791994784,178.29714965820312,88939300,0.0,0.0,0.0
2016-11-04 00:00:00-04:00,178.4081773824272,179.24508920344076,177.95556087497548,178.10073852539062,109122100,0.0,0.0,0.0
2016-11-07 00:00:00-05:00,178.10074275948946,182.06328088275612,178.10074275948946,182.02911376953125,109794900,0.0,0.0,0.0
2016-11-08 00:00:00-05:00,181.6362813584885,183.4125933311949,181.37154487286696,182.8489532470703,106772100,0.0,0.0,0.0
2016-11-09 00:00:00-05:00,181.3630215587675,185.40242968708276,181.33740273604562,184.7875518798828,258429000,0.0,0.0,0.0
