Date,open,high,low,close,volume,dividends,stock splits
2016-09-19 00:00:00-04:00,128.57543973188052,128.76097427694816,127.03920826313802,127.1876449584961,2226800,0.0,0.0
2016-09-20 00:00:00-04:00,128.3453629464991,129.32497933560762,127.98913983447132,128.67190551757812,2607700,0.0,0.0
2016-09-21 00:00:00-04:00,129.310170153043,129.31758745870647,127.35834297112086,129.02073669433594,2516400,0.0,0.0
2016-09-22 00:00:00-04:00,129.57731684184898,130.41592519477928,128.9464949269434,130.33428955078125,2338300,0.0,0.0
2016-09-23 00:00:00-04:00,130.81672856921182,131.24717016598768,129.5847762050739,129.7257843017578,2238700,0.0,0.0
2016-09-26 00:00:00-04:00,129.29529546396,129.46598404930756,128.26372399960414,128.78321838378906,1798500,0.0,0.0
2016-09-27 00:00:00-04:00,126.34155200757795,127.63286462268353,125.79236592038508,127.37312316894531,4798900,0.0,0.0
2016-09-28 00:00:00-04:00,127.81103541870065,127.81103541870065,125.45845879939692,125.94827270507812,3300700,0.0,0.0
2016-09-29 00:00:00-04:00,126.45291495108933,126.45291495108933,122.69769784197742,122.78675079345703,3804000,0.0,0.0
2016-09-30 00:00:00-04:00,123.47692947758554,124.47139172339736,122.65315580850198,123.7960433959961,3999600,0.0,0.0
2016-10-03 00:00:00-04:00,123.23206916605568,124.36753987926924,122.037226028893,124.18942260742188,2514600,0.0,0.0
2016-10-04 00:00:00-04:00,124.1894447109676,125.19133614171375,124.04101928674366,124.34529876708984,2797600,0.0,0.0
2016-10-05 00:00:00-04:00,124.34524961385773,124.96864294365355,123.8776989544461,124.11518859863281,1953400,0.0,0.0
2016-10-06 00:00:00-04:00,123.43983353917993,124.52334884128715,123.03907261715098,123.86284637451172,1904100,0.0,0.0
2016-10-07 00:00:00-04:00,124.63467092388102,124.79051357911511,123.41756492606781,124.3081283569336,1679800,0.0,0.0
2016-10-10 00:00:00-04:00,124.82764321450718,125.1170766600969,124.43431087368346,124.9092788696289,1628200,0.0,0.0
2016-10-11 00:00:00-04:00,124.54562646139752,124.54562646139752,121.34700160756503,121.9481430053711,2761900,0.0,0.0
2016-10-12 00:00:00-04:00,121.94817047035033,122.89067795471985,121.42124729655244,121.62162780761719,2250600,0.0,0.0
2016-10-13 00:00:00-04:00,120.85719580664666,122.51957792647754,120.60486024277614,121.92586517333984,2430900,0.0,0.0
2016-10-14 00:00:00-04:00,122.48992591951281,122.6383513113417,120.10765704757932,120.15218353271484,2817500,0.0,0.0
2016-10-17 00:00:00-04:00,120.37479628011894,121.30246889529268,119.58813171431218,120.68649291992188,2348400,0.0,0.0
2016-10-18 00:00:00-04:00,121.51771058325743,121.6067635418052,120.78298970284821,120.82009887695312,2001800,0.0,0.0
2016-10-19 00:00:00-04:00,121.28020236033493,121.4212104058673,119.49907551728919,119.5436019897461,2502700,0.0,0.0
2016-10-20 00:00:00-04:00,119.48420904295364,121.22823774186467,119.48420904295364,119.85527801513672,2922600,0.0,0.0
2016-10-21 00:00:00-04:00,119.25415824896427,119.64749048704844,117.51755802903112,117.63629150390625,3541000,0.0,0.0
2016-10-24 00:00:00-04:00,118.2671487345493,118.51947301484866,117.43595754103107,117.82186126708984,2920200,0.0,0.0
2016-10-25 00:00:00-04:00,117.88122067958666,118.20034597169021,117.10940198848621,117.18360900878906,2414300,0.0,0.0
2016-10-26 00:00:00-04:00,117.76246613305996,118.77920301199671,117.28008090647481,117.99253845214844,2716800,0.0,0.0
2016-10-27 00:00:00-04:00,118.52688375169998,119.92952434108388,118.47492864788292,119.16512298583984,3366900,0.0,0.0
2016-10-28 00:00:00-04:00,112.57497282194734,112.62691662006641,105.85861820929769,107.74364471435547,18311600,0.0,0.0
2016-10-31 00:00:00-04:00,108.7603396212287,108.856809872758,104.59694447314638,104.76021575927734,8693700,0.0,0.0
2016-11-01 00:00:00-04:00,104.76763536017424,105.68789069089227,103.38725802616163,104.4633560180664,5589300,0.0,0.0
2016-11-02 00:00:00-04:00,104.12942103460615,104.35206478509949,102.89005145662217,102.93457794189453,4622500,0.0,0.0
2016-11-03 00:00:00-04:00,103.67669680730164,103.7286519131418,100.18864978337305,100.35192108154297,5791200,0.0,0.0
2016-11-04 00:00:00-04:00,99.23131521793006,102.12565000409313,99.17936010231945,100.48551940917969,5051500,0.0,0.0
2016-11-07 00:00:00-05:00,102.30374860784221,104.07002970617259,101.7916714719775,103.31305694580078,5146000,0.0,0.0
2016-11-08 00:00:00-05:00,103.56539530291676,103.89935525139862,101.9326934137924,102.74903869628906,3668500,0.0,0.0
2016-11-09 00:00:00-05:00,108.90877872525435,113.43582618658644,105.94022598316906,108.66387176513672,11793400,0.0,0.0
2016-11-10 00:00:00-05:00,111.61758915429442,112.97570352144562,110.4004828676209,112.48590087890625,8933400,0.0,0.0
2016-11-11 00:00:00-05:00,111.35785858608008,111.94414288366043,108.94590901564307,110.60829162597656,5159400,0.0,0.0
2016-11-14 00:00:00-05:00,110.9295351031698,111.43759242638518,109.09153820900724,109.39787292480469,5060000,1.0,0.0
2016-11-15 00:00:00-05:00,109.73410754444288,110.92208677333673,108.34440567343654,109.87606811523438,4515100,0.0,0.0
2016-11-16 00:00:00-05:00,110.25712238086858,110.95196761484381,109.41283776698018,110.00308227539062,4108200,0.0,0.0
2016-11-17 00:00:00-05:00,110.3766238259062,110.91457350566056,109.46509861302357,110.10018157958984,3957300,0.0,0.0
2016-11-18 00:00:00-05:00,109.86860228802584,110.83990127002264,108.26222013301691,108.50878143310547,3764600,0.0,0.0
2016-11-21 00:00:00-05:00,109.07662743963569,109.21110920756037,108.41913061700494,108.74787902832031,2860500,0.0,0.0
2016-11-22 00:00:00-05:00,109.69677586764922,109.79389779885939,106.7081702173196,107.83636474609375,3586200,0.0,0.0
2016-11-23 00:00:00-05:00,106.79780863118427,108.46395283777683,106.72308894094508,108.3593521118164,3216900,0.0,0.0
2016-11-25 00:00:00-05:00,108.5012925067575,109.08406950025706,108.15759795644193,108.65818786621094,2004000,0.0,0.0
2016-11-28 00:00:00-05:00,108.52374111841122,109.02433118957426,107.96337756702528,108.3892593383789,2411700,0.0,0.0
2016-11-29 00:00:00-05:00,108.60592999637178,109.67435104610425,108.56857014554618,109.0841064453125,2939100,0.0,0.0
2016-11-30 00:00:00-05:00,108.85993095592474,109.3231724667996,107.64208221435547,107.64208221435547,4296900,0.0,0.0
2016-12-01 00:00:00-05:00,107.7690903225444,107.7690903225444,106.20006828407536,106.38685607910156,3894000,0.0,0.0
2016-12-02 00:00:00-05:00,106.31215077648699,108.26969488548602,105.72190628066447,107.59725189208984,3517300,0.0,0.0
2016-12-05 00:00:00-05:00,108.67315870436056,109.36053656011323,107.38059009520742,108.5536117553711,3855500,0.0,0.0
2016-12-06 00:00:00-05:00,108.93466465247276,109.07662522726365,107.79899145477003,108.41912841796875,2399000,0.0,0.0
2016-12-07 00:00:00-05:00,107.23115157733021,107.50012648582627,104.3471472698093,105.49028778076172,7031300,0.0,0.0
2016-12-08 00:00:00-05:00,105.22129730805793,105.42303130974558,103.72699501536485,105.04197692871094,4387600,0.0,0.0
2016-12-09 00:00:00-05:00,105.72191308414862,108.0231405462107,105.34833741954033,107.1788558959961,4637300,0.0,0.0
2016-12-12 00:00:00-05:00,106.78286293160204,109.11397135039778,106.68572961394418,108.90476989746094,3310100,0.0,0.0
2016-12-13 00:00:00-05:00,109.68927374900217,112.05027444721841,109.49501852723375,110.85482788085938,4308700,0.0,0.0
2016-12-14 00:00:00-05:00,110.69796661913405,111.73650672599604,110.14507041668072,111.09395599365234,3196700,0.0,0.0
2016-12-15 00:00:00-05:00,111.4600318249332,112.42386344130766,111.1611758481212,112.36408996582031,2950500,0.0,0.0
2016-12-16 00:00:00-05:00,112.76009199687974,112.97677229506438,111.18360202985514,111.60200500488281,6356800,0.0,0.0
2016-12-19 00:00:00-05:00,111.88591006217641,112.33420541399414,109.98815072747999,110.38414001464844,3013800,0.0,0.0
2016-12-20 00:00:00-05:00,109.69676475303689,110.57093044911166,109.435257224879,109.99562072753906,2615600,0.0,0.0
2016-12-21 00:00:00-05:00,109.88353301166276,110.30193586167782,108.85992811006601,109.21109008789062,2491800,0.0,0.0
2016-12-22 00:00:00-05:00,109.31571327212389,109.5398609594587,108.42660133275832,109.35307312011719,1820500,0.0,0.0
2016-12-23 00:00:00-05:00,109.34557786205319,110.37663872019726,109.26339077764978,110.24215698242188,2169700,0.0,0.0
2016-12-27 00:00:00-05:00,110.40656500420674,112.15489653509427,110.40656500420674,110.84738159179688,1941000,0.0,0.0
2016-12-28 00:00:00-05:00,111.04908780362005,111.4375982237179,110.10020257634253,110.33181762695312,1804000,0.0,0.0
2016-12-29 00:00:00-05:00,110.10768195858451,111.09392713367937,110.10768195858451,110.41401672363281,1655500,0.0,0.0
2016-12-30 00:00:00-05:00,110.30195079942119,111.13875661277649,108.80016938005245,109.24099731445312,3193100,0.0,0.0
2017-01-03 00:00:00-05:00,110.47377513615265,112.81982941092447,109.92087915269626,112.61809539794922,3640900,0.0,0.0
2017-01-04 00:00:00-05:00,113.63424101250764,114.85210130684005,113.39515851950564,114.2170181274414,3945900,0.0,0.0
2017-01-05 00:00:00-05:00,114.10496196563066,114.61301944197129,113.2009037613327,114.2992172241211,3441700,0.0,0.0
2017-01-06 00:00:00-05:00,119.45455558891182,120.29136141140003,117.05619485754026,117.13838195800781,9899300,0.0,0.0
2017-01-09 00:00:00-05:00,117.31024746118365,118.7597231279493,117.026337656799,118.67753601074219,4247700,0.0,0.0
2017-01-10 00:00:00-05:00,118.4159913236901,118.89416760954457,117.482052374707,118.61771392822266,3324400,0.0,0.0
2017-01-11 00:00:00-05:00,118.91662323284906,118.91662323284906,115.43489486516694,117.01885223388672,4821300,0.0,0.0
2017-01-12 00:00:00-05:00,116.1371965660641,116.66766758950428,115.479699792717,116.07742309570312,3234800,0.0,0.0
2017-01-13 00:00:00-05:00,116.01763651674838,117.45964424979631,115.72624800705181,116.6452407836914,2637500,0.0,0.0
2017-01-17 00:00:00-05:00,115.91307110562427,116.64527630670939,114.71015686067145,115.65904235839844,3404900,0.0,0.0
2017-01-18 00:00:00-05:00,116.3240003251594,116.51078817039844,115.44235576730601,116.38377380371094,2432600,0.0,0.0
2017-01-19 00:00:00-05:00,115.9055854664104,116.32398837265411,114.50093736634298,114.91187286376953,2571900,0.0,0.0
2017-01-20 00:00:00-05:00,115.59181261011568,116.06998911007314,114.92684823672755,115.56192016601562,3067400,0.0,0.0
2017-01-23 00:00:00-05:00,115.21820951681813,115.472238228241,113.86585605762731,114.10494995117188,2458200,0.0,0.0
2017-01-24 00:00:00-05:00,114.17966318506677,114.31414494211107,112.35661225208626,113.45492553710938,3027700,0.0,0.0
2017-01-25 00:00:00-05:00,113.96299141508658,115.67397434456936,113.39516050869958,115.13602447509766,3479500,0.0,0.0
2017-01-26 00:00:00-05:00,115.80846623431768,116.40618963049089,114.23944374444123,114.2992172241211,3366900,0.0,0.0
2017-01-27 00:00:00-05:00,114.48601399454515,117.67635389224358,114.1348518994515,117.42232513427734,4885200,0.0,0.0
2017-01-30 00:00:00-05:00,117.3775033834575,117.43726546997551,114.88948755910423,115.38259887695312,3758400,0.0,0.0
2017-01-31 00:00:00-05:00,114.8371445121988,117.2728648765416,114.42620904576461,117.06365203857422,3351300,0.0,0.0
2017-02-01 00:00:00-05:00,118.49075111560201,119.35744957322312,117.34014284647712,119.29767608642578,3924800,0.0,0.0
2017-02-02 00:00:00-05:00,119.34248348793881,119.49939028974454,117.23552258199396,119.23041534423828,4445400,0.0,0.0
2017-02-03 00:00:00-05:00,124.10182154294539,125.40933617099908,123.17534993084313,125.17024230957031,7366600,0.0,0.0
2017-02-06 00:00:00-05:00,124.16158950715804,124.69207191201947,123.37708981354895,124.46045684814453,4389200,0.0,0.0
2017-02-07 00:00:00-05:00,124.7742751663905,125.31222504921773,123.72826783901799,124.6397933959961,3584300,0.0,0.0
2017-02-08 00:00:00-05:00,124.40068730808522,125.78292172731344,124.26620555086235,125.61106872558594,3493400,0.0,0.0
2017-02-09 00:00:00-05:00,123.84034121939473,125.36452501812754,123.65355337441827,125.12544250488281,4281400,0.0,0.0
2017-02-10 00:00:00-05:00,125.37199099140197,125.75303405191359,124.79668129560574,125.4392318725586,2931200,0.0,0.0
2017-02-13 00:00:00-05:00,126.17651460820245,126.58275399682738,125.39411148152759,126.13137817382812,3602800,1.15,0.0
2017-02-14 00:00:00-05:00,125.68751897032836,126.43982347419072,124.5590622145348,126.42477416992188,3116700,0.0,0.0
2017-02-15 00:00:00-05:00,125.87555284262169,129.39633122880645,125.6348099721551,129.23834228515625,4058800,0.0,0.0
2017-02-16 00:00:00-05:00,129.06532579197642,129.52423188097563,128.11742649240142,129.47909545898438,2660600,0.0,0.0
2017-02-17 00:00:00-05:00,128.9073302548115,130.41945757593066,127.05665685768332,130.36679077148438,4154900,0.0,0.0
2017-02-21 00:00:00-05:00,130.03580408694663,130.52479729490946,129.29101869031211,130.25396728515625,3941200,0.0,0.0
2017-02-22 00:00:00-05:00,129.64462606000959,131.42758391683734,129.31361026835697,129.8552703857422,2579800,0.0,0.0
2017-02-23 00:00:00-05:00,129.96051782724868,130.90841674804688,129.31353591898218,130.90841674804688,2190800,0.0,0.0
2017-02-24 00:00:00-05:00,130.36680544433676,131.44260654891735,129.75744080573804,131.32223510742188,2677300,0.0,0.0
2017-02-27 00:00:00-05:00,131.05894918133637,132.60869434487827,130.68279699681636,132.5033721923828,2850700,0.0,0.0
2017-02-28 00:00:00-05:00,131.99930072459364,134.0982244035173,131.9692021280439,132.80426025390625,3370400,0.0,0.0
2017-03-01 00:00:00-05:00,133.91015634864996,135.17402197718062,132.22499069802393,134.09071350097656,3532300,0.0,0.0
2017-03-02 00:00:00-05:00,133.6995184982948,134.55714492434385,133.02244923324378,133.96282958984375,3493000,0.0,0.0
2017-03-03 00:00:00-05:00,134.25625942284987,135.81352369094526,133.57165960698308,135.5652618408203,2893800,0.0,0.0
2017-03-06 00:00:00-05:00,135.0762648254071,135.6705802835762,134.03056211044148,135.00856018066406,3280100,0.0,0.0
2017-03-07 00:00:00-05:00,133.4588244472397,134.35406871095762,132.6162470128024,133.44378662109375,3328900,0.0,0.0
2017-03-08 00:00:00-05:00,133.34595427083877,134.48192977694745,133.26320032805907,133.7446746826172,2320800,0.0,0.0
2017-03-09 00:00:00-05:00,133.94777861643036,134.75273822241164,133.21052364025778,134.60227966308594,2505300,0.0,0.0
2017-03-10 00:00:00-05:00,135.01609755632742,136.86676030791514,134.7452674610638,136.49813842773438,4589000,0.0,0.0
2017-03-13 00:00:00-04:00,136.8667473033941,136.91941412656223,135.65554812159033,136.20472717285156,2531000,0.0,0.0
2017-03-14 00:00:00-04:00,135.73068311457214,136.5883091952591,135.13636801940004,135.50498962402344,2746300,0.0,0.0
2017-03-15 00:00:00-04:00,135.64797492817914,138.58196833551798,135.64797492817914,137.37075805664062,4197300,0.0,0.0
2017-03-16 00:00:00-04:00,136.6184963869366,136.7990421130704,133.92524500597366,135.49755859375,6014400,0.0,0.0
2017-03-17 00:00:00-04:00,125.91316970452738,129.0878948366137,124.84489895324162,126.84603118896484,23936800,0.0,0.0
2017-03-20 00:00:00-04:00,127.6133750082062,127.67356072638017,126.20655823930028,127.31997680664062,5831500,0.0,0.0
2017-03-21 00:00:00-04:00,127.9293051576065,128.04967655983515,125.25110459388728,125.52193450927734,4922700,0.0,0.0
2017-03-22 00:00:00-04:00,126.33446101962866,126.37207853209622,125.3263759693153,125.97335815429688,5070400,0.0,0.0
2017-03-23 00:00:00-04:00,125.99593304773816,126.40218383712718,124.55904042100201,124.91261291503906,4432200,0.0,0.0
2017-03-24 00:00:00-04:00,125.4016146360367,125.58216033431925,124.19040416662621,124.68692779541016,3175600,0.0,0.0
2017-03-27 00:00:00-04:00,123.95720073005558,125.34143808809634,122.62561871145168,124.0625228881836,4734000,0.0,0.0
2017-03-28 00:00:00-04:00,123.46067636393035,125.07812624298141,123.1747970166685,123.91206359863281,6526400,0.0,0.0
2017-03-29 00:00:00-04:00,123.73152082747644,124.29574919697758,122.58049587203458,122.67076873779297,4070800,0.0,0.0
2017-03-30 00:00:00-04:00,123.4305524941693,123.97973133214226,122.78357043930018,123.66376495361328,2262300,0.0,0.0
2017-03-31 00:00:00-04:00,123.61863330348606,124.49129746289921,123.2650494064281,123.43055725097656,2811800,0.0,0.0
2017-04-03 00:00:00-04:00,123.8518447413732,124.14524292167667,123.0167866160093,123.29513549804688,3047800,0.0,0.0
2017-04-04 00:00:00-04:00,123.21242758532995,123.74656882033719,122.71590387040864,123.64876556396484,2239400,0.0,0.0
2017-04-05 00:00:00-04:00,122.82878984283248,123.94971648322449,121.63261666254441,122.05391693115234,3542300,0.0,0.0
2017-04-06 00:00:00-04:00,122.02376096636468,122.96414138607966,121.57990416327998,122.0613784790039,3024200,0.0,0.0
2017-04-07 00:00:00-04:00,122.5578846001813,123.55845060143504,122.06136105443105,122.91146850585938,2204400,0.0,0.0
2017-04-10 00:00:00-04:00,123.26508078723052,123.55847904466857,122.33973810824929,122.4676284790039,1772000,0.0,0.0
2017-04-11 00:00:00-04:00,122.54287375231635,122.92654489664532,121.5423074371099,122.70838165283203,1990300,0.0,0.0
2017-04-12 00:00:00-04:00,123.43812651829539,123.453175822826,121.99370322326645,122.66325378417969,2248600,0.0,0.0
